Cement Grade (MPa),Cement Density (g/cm3),Cement Content (kg/m3),Water Content (kg/m3),Fine Aggerate Content (kg/m3),Coarse Aggerate Type,Coarse Aggerate Density (g/cm3),Larger Coarse Aggregate Size (mm),Large Coarse Aggregate Size,Medium Coarse Aggregate Size,Small Coarse Aggregate Size,Larger Coarse Aggregate Size Percentage,Large Coarse Aggregate Size Percentage,Medium Coarse Aggregate Size Percentage,Small Coarse Aggregate Size Percentage,Coarse Aggerate Content (kg/m3),Concrete Strength (MPa)
42.5,3.10,400.0,239.0,659.0,1,2.70,2.36,4.75,8.00,16.00,5.00,77.00,12.00,6.00,999.0,40.40
42.5,3.10,280.0,224.0,716.0,1,2.70,2.00,4.75,4.00,8.00,38.00,48.00,6.00,8.00,1087.0,27.50
43.0,3.12,375.0,198.8,592.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1143.8,36.84
43.0,3.12,400.0,200.0,572.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1128.0,43.13
43.0,3.12,400.0,212.0,616.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1196.0,38.85
43.0,3.12,425.0,199.8,544.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1096.5,47.16
43.0,3.12,425.0,208.3,590.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1177.3,45.05
43.0,3.12,450.0,198.0,513.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1057.5,49.63
43.0,3.12,450.0,211.5,562.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1143.0,47.42
43.0,3.12,475.0,199.5,498.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1040.3,54.01
43.0,3.12,475.0,209.0,565.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1168.5,50.05
43.0,3.12,375.0,198.8,592.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1143.8,37.81
43.0,3.12,400.0,200.0,572.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1128.0,44.11
43.0,3.12,400.0,212.0,616.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1196.0,10.90
43.0,3.12,425.0,199.8,544.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1096.5,47.51
43.0,3.12,425.0,208.3,590.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1177.3,45.30
43.0,3.12,425.0,216.8,641.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1253.8,42.54
43.0,3.12,450.0,198.0,513.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1057.5,52.03
43.0,3.12,450.0,211.5,562.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1143.0,48.74
43.0,3.12,450.0,220.5,616.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1228.5,46.59
43.0,3.12,475.0,199.5,498.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1040.3,54.49
43.0,3.12,475.0,209.0,565.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1168.5,53.06
43.0,3.12,475.0,218.5,584.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1192.3,49.18
43.0,3.12,425.0,221.0,607.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,858.5,40.02
43.0,3.12,450.0,220.5,580.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,837.0,52.25
43.0,3.12,450.0,229.5,626.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,855.0,42.68
43.0,3.12,475.0,218.5,555.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,817.0,48.67
43.0,3.12,475.0,228.0,598.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,869.3,45.52
43.0,3.12,350.0,178.5,486.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1141.0,39.52
43.0,3.12,350.0,189.0,521.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1197.0,31.66
43.0,3.12,375.0,180.0,468.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1121.3,42.73
43.0,3.12,375.0,191.3,506.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1196.3,40.69
43.0,3.12,400.0,180.0,440.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1080.0,47.99
43.0,3.12,400.0,192.0,484.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1168.0,44.89
43.0,3.12,425.0,178.5,416.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1049.8,51.25
43.0,3.12,425.0,191.3,463.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,1139.0,49.05
43.0,3.12,375.0,198.8,551.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,903.8,37.30
43.0,3.12,400.0,200.0,528.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,884.0,44.04
43.0,3.12,400.0,212.0,576.0,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,944.0,39.61
43.0,3.12,425.0,199.8,505.8,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,862.8,47.37
43.0,3.12,425.0,208.3,548.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,926.5,44.69
43.0,3.12,450.0,198.0,481.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,837.0,50.93
43.0,3.12,450.0,211.5,526.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,900.0,48.08
43.0,3.12,475.0,199.5,451.3,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,798.0,54.14
43.0,3.12,475.0,209.0,503.5,1,2.62,2.36,4.75,9.50,15.80,22.00,47.00,26.00,5.00,874.0,51.31
43.0,3.12,350.0,179.9,487.2,1,2.62,2.36,4.75,9.50,15.80,22.10,47.22,25.73,4.95,1139.3,39.52
43.0,3.12,350.0,190.1,524.0,1,2.62,2.36,4.75,9.50,15.80,22.10,47.22,25.73,4.95,1198.4,31.66
43.0,3.12,375.0,180.0,466.9,1,2.62,2.36,4.75,9.50,15.80,22.10,47.21,25.74,4.95,1120.1,42.73
43.0,3.12,375.0,190.1,507.8,1,2.62,2.36,4.75,9.50,15.80,22.10,47.22,25.73,4.95,1194.4,40.69
43.0,3.12,400.0,180.0,440.0,1,2.62,2.36,4.75,9.50,15.80,22.10,47.22,25.73,4.95,1081.2,47.99
43.0,3.12,400.0,190.0,484.0,1,2.62,2.36,4.75,9.50,15.80,22.10,47.22,25.73,4.95,1166.0,44.89
43.0,3.12,425.0,179.8,416.9,1,2.62,2.36,4.75,9.50,15.80,22.10,47.21,25.74,4.95,1046.8,51.25
43.0,3.12,425.0,190.0,462.0,1,2.62,2.36,4.75,9.50,15.80,22.11,47.23,25.72,4.95,1137.7,49.05
43.0,3.12,450.0,189.9,439.7,1,2.62,2.36,4.75,9.50,15.80,22.10,47.21,25.74,4.95,1104.3,53.69
43.0,3.12,350.0,190.1,524.0,1,2.62,2.36,4.75,9.50,15.80,16.79,35.88,39.69,7.63,1198.4,36.64
43.0,3.12,375.0,190.1,507.8,1,2.62,2.36,4.75,9.50,15.80,16.79,35.88,39.69,7.63,1194.8,41.57
43.0,3.12,400.0,190.0,484.0,1,2.62,2.36,4.75,9.50,15.80,16.79,35.88,39.69,7.63,1166.4,46.22
43.0,3.12,425.0,190.0,462.0,1,2.62,2.36,4.75,9.50,15.80,16.79,35.88,39.69,7.63,1138.2,50.35
43.0,3.12,450.0,189.9,439.7,1,2.62,2.36,4.75,9.50,15.80,16.79,35.88,39.69,7.63,1103.4,54.11
43.0,3.12,375.0,199.9,592.9,1,2.62,2.36,4.75,9.50,15.80,22.10,47.22,25.74,4.95,1143.0,36.84
